pdf_name,year,region,project_type,nom_commune,dept,land_surface_ha,power_mwc,longitude,latitude
2023apara62_centralepvausol_stromainengal_69.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Romain-en-Gal,69,1.69,,4.8261922699,45.5357749158
2023apara62_centralepvausol_stromainengal_69.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Romain-en-Gal,69,1.69,,4.8261922699,45.5357749158
2023apara60_centrale_pv_saint_paul_de_tartas_43.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Paul-de-Tartas,43,2.67,2.9,3.89356890721,44.7990652286
2023apara50_parc_photovoltaique_espeluche_26.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Espeluche,26,20.0,11.6,4.82247674959,44.521406146
avis_1489_projet_pv_argentine_73versionvalidee.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Argentine,73,3.7,3.9,6.33336554074,45.4893893107
2023apara38_pv_sol_deneuille_chantelle_03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Deneuille-lès-Chantelle,03,165.7,21.54,3.1458559831,46.252932184
2023apara35_defrichementparcpv_coucouron_07.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,,,27.0,10.25,,
2023apara33_parcpv_lescheroux_01.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Lescheroux,01,30.7,7.19,5.15107164478,46.4114892731
2023apara31_parcpv_chavroches_03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Chavroches,03,8.6,2.17,3.59684840219,46.353495459
2023apara20_ap1466_parcpv_lachapelaude.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Vaux,03,9.43,11.3,2.57435492547,46.4214002132
2023apara20_ap1466_parcpv_lachapelaude.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Chapelaude,03,9.43,11.3,2.50433585569,46.4276365849
230214_apara19_gondailly_03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Montaigu-le-Blin,03,14.75,7.7,3.51623839378,46.2907437255
230214_apara19_gondailly_03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Gérand-le-Puy,03,14.75,7.7,3.51175451596,46.2637640044
2023apara18_centralepv_junhac_sansacveinazes_15.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Junhac,15,130.0,29.72,2.4519931764,44.6956285648
2023apara18_centralepv_junhac_sansacveinazes_15.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Sanzac-Veinazès,15,130.0,29.72,,
2023apara10_parcpv_injouxgennissiat_01.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Injoux-Génissiat,01,2.35,1.55,5.75991363273,46.0497734524
2023apara10_parcpv_injouxgennissiat_01.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Injoux-Génissiat,01,2.35,1.55,5.75991363273,46.0497734524
2023apara6_parcpv_domerat_03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Domérat,03,39.0,33.8,2.54346219645,46.3681510176
2023apara4_parcpvsolnieudan-15.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Nieudan,15,17.14,15.85,2.24617399797,44.9831085193
2023apara1_actuaee_parcpvsolsalzuit_43.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Salzuit,43,5.86,4.78,3.48272203191,45.2095833426
2022apara157_centrale-photovoltaique_serves-sur-rhone_69.pdf,2022,Auvergne-Rhône-Alpes,photovoltaïque,Serves-sur-Rhône,26,11.21,5.0,4.83109226677,45.1418386958
2022apara154_centralepv_cerilly_03.pdf,2022,Auvergne-Rhône-Alpes,photovoltaïque,Cérilly,03,96.0,20.15,2.80901857226,46.6265101815
2022apara146_parcpv_montreallacluse_01_vf.pdf,2022,Auvergne-Rhône-Alpes,photovoltaïque,Montréal-la-Cluse,01,24.6,9.42,5.59510550127,46.1795688194
2022apara144_centrale__pv-villette-de-vienne_38.pdf,2022,Auvergne-Rhône-Alpes,photovoltaïque,Villette-de-Vienne,38,67.5,,4.91199377057,45.5891950037
