pdf_name,land_surface_ha,power_mwc
2025apo86.pdf,3.52,
2025apo92.pdf,8.74,9.5
p_2019_7413_avis_ae_delegation_centrale_audenge_33_signe.pdf,40.0,
p_2025_17460_centrale_pv_soumans_23signe.pdf,53.2,15.68
2024apo86.pdf,4.5,4.5
2022apo139.pdf,1.2,1.0
190426_apbfc22_parc_solaire_la_charite_sur_loire58-tacite.pdf,,
2022apge36.pdf,5.5,8.17
2025apo79.pdf,3.43,3.2
2018apcvl44.pdf,8.8,
210322_abfc9_pv_champs_de_la_cour_fontaine_89.pdf,35.0,600.0
2024apo51.pdf,5.0,2.13
p_2023_15155_avis_ae_formule_centrale_photovoltaique_nicole_47.pdf,5.47,3.5
mrae_avis_morosaglia_ac_vdef.pdf,2.15,2.0
2022appaca27.pdf,46.0,
p_2024_16071_cible_pv_soussans_33_avis.pdf,4.0,1.0
2021apo73.pdf,10.7,3.81
p_2021_10651_avisae_collegial_centralemezos_mrae_signe.pdf,216.0,97.87
2022apo34.pdf,14.0,
2021apge16.pdf,9.5,
2023-ara-ap-1609-centralepv-nervieux-42vfinale-2.pdf,17.8,10.5
a_2025_5906_installation_photovoltaique_st_vigo_dymonville_delegue.pdf,6.31,
p_2023_15122_avis_ae_delegation_centrale_solaire_paussac_24_1_.pdf,4.0,4.8
2022apge151.pdf,19.58,
pdl-2022-6642_projet_centralepv_rivesduloirenanjou_49_2023appdl18.pdf,6.37,
